,REF,CANTIDAD,TOTAL,PRECIO_PROMEDIO,DESCUENTO_PROMEDIO,ITEM,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
927,XC0044:00192:,56,29737457,981513.0,0.4589719974598983,19253,SET COMEDOR DOTT,COMEDORES,SET 4P,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,CHAPILLA LAMINADA,MATE,4.0,NEGRO/GOLD,120.0,5.0,75.0,COMEDOR DOTT 4P MAD CLARO NG/GD,SET 4P,OTRO,OTRO
1110,XZ0243:00005:,55,9987340,314330.07272727275,0.41946729365742624,4709,MESA CENTRO FOCUS,SALAS Y SOFAS,MESAS DE CENTRO,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,NEGRO,100.0,43.0,60.0,MESA CENTRO FOCUS NG 2C,MESAS DE CENTRO,NEGRO,VIDRIO
1211,XZ0737:00001:,55,26448292,1046185.8727272727,0.5423885951563218,4984,SET COMEDOR RANJITA,COMEDORES,SET 6P,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,6.0,BLANCO,150.0,75.0,90.0,COMEDOR RANJITA 6P BL 2C,SET 6P,BLANCO,VIDRIO
703,XA0520:00009:,55,19542099,958442.5277777778,0.6231092096679703,17224,SET COMEDOR WAGNER,COMEDORES,SET 6P,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,6.0,CAFE,150.0,75.0,70.0,COMEDOR WAGNER 6P CF 3C,SET 6P,CAFE,VIDRIO
661,XA0403:00001:,55,13184626,444314.41818181815,0.46106212855013196,16972,MESA COMEDOR WELCH,COMEDORES,MESAS DE 4P,DESCONTINUADO,IMPORTADO,CONTEMPORÁNEO,CHAPILLA LAMINADA,MATE,4.0,BLANCO,120.0,75.0,80.0,MESA COMEDOR WELCH 120X80X75 BL,MESAS DE 4P,BLANCO,OTRO
709,XA0530:00001:,55,49813755,1481361.5283018867,0.36423349698205987,17202,SOFA RECLINO WEBB,SALAS Y SOFAS,RECLINABLES,LINEA,IMPORTADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,2.0,BLANCO,145.0,100.0,90.0,SOFA RECLINO WEBB 2P BL,RECLINABLES,BLANCO,SINTÉTICO
721,XA0542:00026:,55,16345086,510753.4909090909,0.4184499352020533,17473,MESA COMEDOR SILAS,COMEDORES,MESAS DE 4P,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,4.0,CRISTAL,120.0,76.0,70.0,MESA COMEDOR SILAS-P 120X70 CRISTAL 2C,MESAS DE 4P,CRISTAL,VIDRIO
69,D00042:00157:,55,23705977,701062.0545454546,0.38343615394067787,18482,CAMA DOBLE AMAT,ALCOBAS,CAMA DOBLE,NOVEDAD,NACIONAL,MODERNO,MDF,MATE,2.0,HABANO,190.0,45.0,140.0,CAMA DOBLE AMAT,OTROS,OTRO,OTRO
807,XA0708:00046:,55,29836889,1361075.0545454544,0.6014261775033969,18264,COMEDOR WALDHURGA,COMEDORES,SET 6P,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,6.0,AZUL,150.0,75.0,70.0,COMEDOR WALDHURGA 6P CRIS SILLA AZ 4C,SET 6P,AZUL,VIDRIO
701,XA0518:00005:,54,21690908,935798.8888888889,0.5521434429636124,17216,SET COMEDOR WAGNER,COMEDORES,SET 6P,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,6.0,NEGRO,150.0,75.0,70.0,COMEDOR WAGNER 6P NG 3C,SET 6P,NEGRO,VIDRIO
915,XC0030:00005:,54,7899509,271944.8289473684,0.4616333572306027,19277,SILLAS DE ESCRITORIO CARLES,ESTUDIO,SILLAS DE OFICINA,NOVEDAD,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,NEGRO,49.0,94.0,52.0,SILLAS DE ESCRITORIO CARLES NG,OTROS,NEGRO,SINTÉTICO
1181,XZ0652:00029:,54,4468929,265563.69658119656,0.7153846278875307,6552,SILLA COMEDRO DALINE,COMEDORES,SILLAS DE COMEDOR,DESCONTINUADO,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,GRIS,50.0,80.0,46.0,SILLA COMEDOR DALINE TELA GR LIQUIDACIÓN,SILLAS DE COMEDOR,GRIS,SINTÉTICO
868,XA0798:00001:,54,3833234,129778.39015151515,0.42264156621081334,19038,SILLA COMEDOR SONIAY,COMEDORES,SILLAS DE COMEDOR,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,PLASTICO ,TEXTURA SUAVE,1.0,BLANCO,57.0,80.0,48.0,SILLA COMEDOR SONIAY BL,SILLAS DE COMEDOR,BLANCO,OTRO
592,XA0255:00128:,54,4821355,212766.20555555556,0.5200002330347161,15176, SILLA COMEDOR ASAMA,COMEDORES,SILLAS DE COMEDOR,LINEA,IMPORTADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,1.0,CAFE,41.0,90.0,41.0,SILLA COMEDOR ASAMA CF LIQUIDACIÓN,SILLAS DE COMEDOR,CAFE,SINTÉTICO
991,XC0125:00117:,54,27976908,864330.2592592592,0.4003043719796379,19452,COMEDOR MAKO ,COMEDORES,SET 4P,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,VIDRIO,BRILLANTE,4.0,AZUL/NEGRO,120.0,73.0,70.0,COMEDOR MAKO 4P CRISTAL AZ/NG 3C,SET 4P,OTRO,VIDRIO
826,XA0727:00036:,54,5597872,165677.83333333334,0.377084810032381,18441,MESA CENTRO WARRINA,SALAS Y SOFAS,MESAS DE CENTRO,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,BEIGE,75.0,45.0,45.0,MESA CENTRO WARRINA 75X45X45 BG 2C,MESAS DE CENTRO,BEIGE,VIDRIO
622,XA0344:00009:,54,65960543,2285558.6481481483,0.4710302407507122,16925,SOFA RECLINO GLORY,SALAS Y SOFAS,RECLINABLES,LINEA,IMPORTADO,C+M - CLÁSICO + MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,212.0,105.0,95.0,SOFA RECLINO GLORY 3P CF,RECLINABLES,CAFE,MICROFIBRA
