,ID,REF,CANTIDAD,CATEGORIA,SUBCATEGORIA,DETALLE_1,DETALLE_2
39,XA0691,XA0691:00014:,19,COMEDORES,MESAS DE 6P,14.0,
40,XA0725,XA0725:00029:,11,COMEDORES,MESAS DE 6P,29.0,
41,XR0296,XR0296:00035:,2,COMEDORES,MESAS DE 6P,35.0,
42,XR0430,XR0430:00035:,3,COMEDORES,MESAS DE 6P,35.0,
43,XR0754,XR0754:00026:,1,COMEDORES,MESAS DE 6P,26.0,
44,XY0201,XY0201:00001:,4,COMEDORES,MESAS DE 6P,1.0,
45,XY0202,XY0202:00005:,2,COMEDORES,MESAS DE 6P,5.0,
46,XY0203,XY0203:00009:,2,COMEDORES,MESAS DE 6P,9.0,
47,XY0517,XY0517:00005:,3,COMEDORES,MESAS DE 6P,5.0,
48,XY0768,XY0768:00001:,4,COMEDORES,MESAS DE 6P,1.0,
49,XY0995,XY0995:00005:,6,COMEDORES,MESAS DE 6P,5.0,
50,XZ0567,XZ0567:00005:,34,COMEDORES,MESAS DE 6P,5.0,
51,XZ0598,XZ0598:00009:,3,COMEDORES,MESAS DE 6P,9.0,
52,XZ0897,XZ0897:00044:,40,COMEDORES,MESAS DE 6P,44.0,
53,XA0172,XA0172:00015:,3,COMEDORES,MESAS DE 4P,15.0,
54,XC0062,XC0062::,31,COMEDORES,MESAS DE 4P,,
55,XR0516,XR0516:00024:,3,COMEDORES,MESAS DE 4P,24.0,
56,XR0596,XR0596:00002:,6,COMEDORES,MESAS DE 4P,2.0,
57,XR0927,XR0927:00044:,2,COMEDORES,MESAS DE 4P,44.0,
58,XR0946,XR0946:00004:,5,COMEDORES,MESAS DE 4P,4.0,
59,XR0978,XR0978:00024:,3,COMEDORES,MESAS DE 4P,24.0,
60,XY0141,XY0141:00005:,5,COMEDORES,MESAS DE 4P,5.0,
61,XY0160,XY0160:00042:,3,COMEDORES,MESAS DE 4P,42.0,
62,XY0185,XY0185:00002:,24,COMEDORES,MESAS DE 4P,2.0,
63,XY0344,XY0344:00007:,3,COMEDORES,MESAS DE 4P,7.0,
64,XY0933,XY0933:00007:,4,COMEDORES,MESAS DE 4P,7.0,
65,XY0959,XY0959:00024:,4,COMEDORES,MESAS DE 4P,24.0,
66,XY0965,XY0965:00018:,2,COMEDORES,MESAS DE 4P,18.0,
67,XY0979,XY0979:00005:,2,COMEDORES,MESAS DE 4P,5.0,
68,XY0980,XY0980:00024:,5,COMEDORES,MESAS DE 4P,24.0,
69,XY0997,XY0997:00005:,4,COMEDORES,MESAS DE 4P,5.0,
70,XZ0003,XZ0003:00005:,3,COMEDORES,MESAS DE 4P,5.0,
71,XZ0105,XZ0105:00005:,6,COMEDORES,MESAS DE 4P,5.0,
72,XZ0149,XZ0149:00005:,6,COMEDORES,MESAS DE 4P,5.0,
73,XZ0150,XZ0150:00005:,9,COMEDORES,MESAS DE 4P,5.0,
74,XZ0573,XZ0573:00005:,175,COMEDORES,MESAS DE 4P,5.0,
75,XZ0575,XZ0575:00001:,4,COMEDORES,MESAS DE 4P,1.0,
76,XZ0596,XZ0596:00026:,3,COMEDORES,MESAS DE 4P,26.0,
77,XZ0871,XZ0871:00012:,5,COMEDORES,MESAS DE 4P,12.0,
78,XZ0872,XZ0872:00035:,5,COMEDORES,MESAS DE 4P,35.0,
79,XZ0899,XZ0899:00045:,45,COMEDORES,MESAS DE 4P,45.0,
80,XZ0900,XZ0900:00035:,2,COMEDORES,MESAS DE 4P,35.0,
81,XZ0940,XZ0940:00044:,10,COMEDORES,MESAS DE 4P,44.0,
82,YX0093,YX0093:00009:,12,COMEDORES,MESAS DE 4P,9.0,
83,XA0073,XA0073:00005:,5,COMEDORES,MESAS DE EXTENSION,5.0,
84,XA0113,XA0113:00022:,4,COMEDORES,MESAS DE EXTENSION,22.0,
85,XA0540,XA0540:00026:,4,COMEDORES,MESAS DE EXTENSION,26.0,
86,XA0690,XA0690:00005:,41,COMEDORES,MESAS DE EXTENSION,5.0,
87,XC0126,XC0126::,3,COMEDORES,MESAS DE EXTENSION,,
88,XZ0048,XZ0048:00076:,3,COMEDORES,MESAS DE EXTENSION,76.0,
89,XZ0231,XZ0231:00005:,24,COMEDORES,MESAS DE EXTENSION,5.0,
90,XZ0785,XZ0785:00005:,10,COMEDORES,MESAS DE EXTENSION,5.0,
91,XA0108,XA0108:00024:,12,COMEDORES,SILLAS AUXILIARES,24.0,
92,XA0726,XA0726:00005:,2,COMEDORES,SILLAS AUXILIARES,5.0,
93,XC0067,XC0067:00046:,1,COMEDORES,SILLAS AUXILIARES,46.0,
94,XC0068,XC0068:00009:,2,COMEDORES,SILLAS AUXILIARES,9.0,
95,XZ0653,XZ0653:00078:,24,COMEDORES,SILLAS AUXILIARES,78.0,
96,XA0261,XA0261:00046:,22,COMEDORES,SILLAS DE BAR,46.0,
97,XA0264,XA0264:00009:,1,COMEDORES,SILLAS DE BAR,9.0,
98,XA0384,XA0384:00005:,202,COMEDORES,SILLAS DE BAR,5.0,
99,XY0321,XY0321:00001:,10,COMEDORES,SILLAS DE BAR,1.0,
100,XY0409,XY0409:00115:,2,COMEDORES,SILLAS DE BAR,115.0,
101,XZ0368,XZ0368:00046:,1,COMEDORES,SILLAS DE BAR,46.0,
102,XZ0388,XZ0388:00034:,4,COMEDORES,SILLAS DE BAR,34.0,
103,XA0081,XA0081:00005:,38,COMEDORES,SET 4P,5.0,
104,XA0081-1,XA0081-1:00005:,8,COMEDORES,SET 4P,5.0,
105,XA0179,XA0179:00005:,3,COMEDORES,SET 4P,5.0,
106,XA0184,XA0184:00044:,2,COMEDORES,SET 4P,44.0,
107,XA0237,XA0237:00005:,7,COMEDORES,SET 4P,5.0,
108,XA0242,XA0242:00001:,7,COMEDORES,SET 4P,1.0,
109,XA0287,XA0287:00001:,2,COMEDORES,SET 4P,1.0,
110,XA0288,XA0288:00001:,15,COMEDORES,SET 4P,1.0,
111,XA0405,XA0405:00005:,30,COMEDORES,SET 4P,5.0,
112,XA0416-1,XA0416-1:00009:,44,COMEDORES,SET 4P,9.0,
113,XA0533,XA0533:00040:,3,COMEDORES,SET 4P,40.0,
114,XA0551,XA0551:00029:,2,COMEDORES,SET 4P,29.0,
115,XA0553,XA0553:00013:,5,COMEDORES,SET 4P,13.0,
116,XA0665,XA0665:00065:,3,COMEDORES,SET 4P,65.0,
117,XA0677,XA0677:00117:,20,COMEDORES,SET 4P,117.0,
118,XA0678,XA0678:00183:,4,COMEDORES,SET 4P,183.0,
119,XA0730,XA0730:00029:,1,COMEDORES,SET 4P,29.0,
120,XC0037,XC0037:00096:,33,COMEDORES,SET 4P,96.0,
121,XC0045,XC0045::,63,COMEDORES,SET 4P,,
122,XC0049,XC0049::,45,COMEDORES,SET 4P,,
123,XC0051,XC0051::,35,COMEDORES,SET 4P,,
124,XC0119,XC0119:00011:,4,COMEDORES,SET 4P,11.0,
125,XC0125,XC0125:00117:,2,COMEDORES,SET 4P,117.0,
126,XC0127,XC0127::,22,COMEDORES,SET 4P,,
127,XC0128,XC0128::,38,COMEDORES,SET 4P,,
128,XR0339,XR0339:00002:,3,COMEDORES,SET 4P,2.0,
129,XR0628,XR0628:00002:,12,COMEDORES,SET 4P,2.0,
130,XR0638,XR0638:00011:,6,COMEDORES,SET 4P,11.0,
131,XR0639,XR0639:00002:,2,COMEDORES,SET 4P,2.0,
132,XY0211,XY0211:00005:,7,COMEDORES,SET 4P,5.0,
133,XY0486,XY0486:00009:,16,COMEDORES,SET 4P,9.0,
134,XY0850,XY0850:00026:,9,COMEDORES,SET 4P,26.0,
135,XY0932,XY0932:00014:,6,COMEDORES,SET 4P,14.0,
136,XY0940,XY0940:00002:,3,COMEDORES,SET 4P,2.0,
137,XY0964,XY0964:00005:,5,COMEDORES,SET 4P,5.0,
138,XZ0113,XZ0113:00035:,5,COMEDORES,SET 4P,35.0,
139,XZ0140,XZ0140:00035:,2,COMEDORES,SET 4P,35.0,
140,XZ0244,XZ0244:00005:,5,COMEDORES,SET 4P,5.0,
141,XZ0510,XZ0510:00040:,4,COMEDORES,SET 4P,40.0,
142,XZ0518,XZ0518:00023:,3,COMEDORES,SET 4P,23.0,
143,XZ0520,XZ0520:00009:,15,COMEDORES,SET 4P,9.0,
144,XZ0708,XZ0708:00032:,3,COMEDORES,SET 4P,32.0,
145,XZ0988,XZ0988:00005:,2,COMEDORES,SET 4P,5.0,
146,XZ0989,XZ0989:00024:,2,COMEDORES,SET 4P,24.0,
147,XA0071,XA0071:00147:,6,COMEDORES,SET 6P,147.0,
148,XA0153,XA0153:00044:,6,COMEDORES,SET 6P,44.0,
149,XA0236,XA0236:00005:,5,COMEDORES,SET 6P,5.0,
150,XA0378,XA0378:00013:,30,COMEDORES,SET 6P,13.0,
151,XA0404,XA0404:00005:,11,COMEDORES,SET 6P,5.0,
152,XA0519,XA0519:00001:,2,COMEDORES,SET 6P,1.0,
153,XA0520,XA0520:00009:,5,COMEDORES,SET 6P,9.0,
154,XA0534,XA0534:00040:,16,COMEDORES,SET 6P,40.0,
155,XA0548,XA0548:00005:,3,COMEDORES,SET 6P,5.0,
156,XA0549,XA0549:00029:,6,COMEDORES,SET 6P,29.0,
157,XA0670-1,XA0670-1:00009:,26,COMEDORES,SET 6P,9.0,
158,XA0697,XA0697:00058:,4,COMEDORES,SET 6P,58.0,
159,XA0708,XA0708:00046:,2,COMEDORES,SET 6P,46.0,
160,XA0720,XA0720:00029:,2,COMEDORES,SET 6P,29.0,
161,XA0744,XA0744::,40,COMEDORES,SET 6P,,
162,XC0038,XC0038:00096:,16,COMEDORES,SET 6P,96.0,
163,XC0046,XC0046::,48,COMEDORES,SET 6P,,
164,XC0050,XC0050::,29,COMEDORES,SET 6P,,
165,XR0635,XR0635:00002:,3,COMEDORES,SET 6P,2.0,
166,XY0195,XY0195:00120:,6,COMEDORES,SET 6P,120.0,
167,XY0208,XY0208:00036:,7,COMEDORES,SET 6P,36.0,
168,XY0766,XY0766:00091:,4,COMEDORES,SET 6P,91.0,
169,XY0846,XY0846:00004:,5,COMEDORES,SET 6P,4.0,
170,XY0939,XY0939:00002:,6,COMEDORES,SET 6P,2.0,
171,XY0948,XY0948:00005:,6,COMEDORES,SET 6P,5.0,
172,XY0949,XY0949:00002:,11,COMEDORES,SET 6P,2.0,
173,XZ0078-1,XZ0078-1:00005:,8,COMEDORES,SET 6P,5.0,
174,XZ0207-1,XZ0207-1:00009:,9,COMEDORES,SET 6P,9.0,
175,XZ0528,XZ0528:00035:,4,COMEDORES,SET 6P,35.0,
176,XZ0704,XZ0704:00035:,5,COMEDORES,SET 6P,35.0,
177,XZ0709,XZ0709:00033:,6,COMEDORES,SET 6P,33.0,
178,XZ0735,XZ0735:00009:,3,COMEDORES,SET 6P,9.0,
179,XZ0737,XZ0737:00001:,7,COMEDORES,SET 6P,1.0,
180,XZ0792,XZ0792:00009:,6,COMEDORES,SET 6P,9.0,
181,XZ0794,XZ0794:00009:,12,COMEDORES,SET 6P,9.0,
182,XZ0913,XZ0913:00005:,5,COMEDORES,SET 6P,5.0,
183,XZ0913-1,XZ0913-1:00005:,4,COMEDORES,SET 6P,5.0,
184,XZ0914,XZ0914:00001:,3,COMEDORES,SET 6P,1.0,
185,XZ0975,XZ0975:00012:,6,COMEDORES,SET 6P,12.0,
186,XZ0987,XZ0987:00024:,2,COMEDORES,SET 6P,24.0,
187,A01040,A01040:00005:,79,COMEDORES,SILLAS DE COMEDOR,5.0,
188,R00004,R00004::,30,COMEDORES,SILLAS DE COMEDOR,,
189,XA0001,XA0001:00018:,20,COMEDORES,SILLAS DE COMEDOR,18.0,
190,XA0006,XA0006:00141:,5,COMEDORES,SILLAS DE COMEDOR,141.0,
191,XA0007,XA0007:00054:,8,COMEDORES,SILLAS DE COMEDOR,54.0,
192,XA0011,XA0011:00142:,25,COMEDORES,SILLAS DE COMEDOR,142.0,
193,XA0016,XA0016:00035:,8,COMEDORES,SILLAS DE COMEDOR,35.0,
194,XA0059,XA0059:00009:,5,COMEDORES,SILLAS DE COMEDOR,9.0,
195,XA0063,XA0063:00029:,4,COMEDORES,SILLAS DE COMEDOR,29.0,
196,XA0064,XA0064:00005:,8,COMEDORES,SILLAS DE COMEDOR,5.0,
197,XA0065,XA0065:00009:,2,COMEDORES,SILLAS DE COMEDOR,9.0,
198,XA0067,XA0067:00118:,7,COMEDORES,SILLAS DE COMEDOR,118.0,
199,XA0078,XA0078:00128:,30,COMEDORES,SILLAS DE COMEDOR,128.0,
200,XA0102,XA0102:00001:,3,COMEDORES,SILLAS DE COMEDOR,1.0,
201,XA0104,XA0104:00108:,20,COMEDORES,SILLAS DE COMEDOR,108.0,
202,XA0107,XA0107:00001:,9,COMEDORES,SILLAS DE COMEDOR,1.0,
203,XA0112,XA0112:00001:,2,COMEDORES,SILLAS DE COMEDOR,1.0,
204,XA0159,XA0159:00009:,4,COMEDORES,SILLAS DE COMEDOR,9.0,
205,XA0162,XA0162:00009:,14,COMEDORES,SILLAS DE COMEDOR,9.0,
206,XA0227,XA0227:00009:,18,COMEDORES,SILLAS DE COMEDOR,9.0,
207,XA0252,XA0252:00009:,21,COMEDORES,SILLAS DE COMEDOR,9.0,
208,XA0255,XA0255:00128:,6,COMEDORES,SILLAS DE COMEDOR,128.0,
209,XA0257,XA0257:00127:,2,COMEDORES,SILLAS DE COMEDOR,127.0,
210,XA0268,XA0268:00049:,26,COMEDORES,SILLAS DE COMEDOR,49.0,
211,XA0370,XA0370:00049:,29,COMEDORES,SILLAS DE COMEDOR,49.0,
212,XA0380,XA0380:00024:,18,COMEDORES,SILLAS DE COMEDOR,24.0,
213,XA0382,XA0382:00029:,3,COMEDORES,SILLAS DE COMEDOR,29.0,
214,XA0410,XA0410:00009:,5,COMEDORES,SILLAS DE COMEDOR,9.0,
215,XA0411,XA0411:00046:,42,COMEDORES,SILLAS DE COMEDOR,46.0,
216,XA0703,XA0703:00038:,2,COMEDORES,SILLAS DE COMEDOR,38.0,
217,XA0721,XA0721:00029:,3,COMEDORES,SILLAS DE COMEDOR,29.0,
218,XA0739,XA0739:00009:,5,COMEDORES,SILLAS DE COMEDOR,9.0,
219,XA0743,XA0743:00011:,40,COMEDORES,SILLAS DE COMEDOR,11.0,
220,XA0745,XA0745:00011:,6,COMEDORES,SILLAS DE COMEDOR,11.0,
221,XA0757,XA0757:00118:,2,COMEDORES,SILLAS DE COMEDOR,118.0,
222,XA0799,XA0799:00046:,2,COMEDORES,SILLAS DE COMEDOR,46.0,
223,XC0052,XC0052::,133,COMEDORES,SILLAS DE COMEDOR,,
224,XC0053,XC0053::,44,COMEDORES,SILLAS DE COMEDOR,,
225,XC0054,XC0054:00049:,59,COMEDORES,SILLAS DE COMEDOR,49.0,
226,XC0055,XC0055:00036:,38,COMEDORES,SILLAS DE COMEDOR,36.0,
227,XR0319,XR0319:00002:,46,COMEDORES,SILLAS DE COMEDOR,2.0,
228,XR0525,XR0525:00009:,6,COMEDORES,SILLAS DE COMEDOR,9.0,
229,XR0629,XR0629:00011:,4,COMEDORES,SILLAS DE COMEDOR,11.0,
230,XR0682,XR0682:00036:,8,COMEDORES,SILLAS DE COMEDOR,36.0,
231,XR0845,XR0845:00020:,7,COMEDORES,SILLAS DE COMEDOR,20.0,
232,XR0846,XR0846:00024:,2,COMEDORES,SILLAS DE COMEDOR,24.0,
233,XR0860,XR0860:00005:,27,COMEDORES,SILLAS DE COMEDOR,5.0,
234,XR0913,XR0913:00024:,6,COMEDORES,SILLAS DE COMEDOR,24.0,
235,XR0924,XR0924:00024:,6,COMEDORES,SILLAS DE COMEDOR,24.0,
236,XR0930,XR0930:00001:,15,COMEDORES,SILLAS DE COMEDOR,1.0,
237,XR0932,XR0932:00001:,18,COMEDORES,SILLAS DE COMEDOR,1.0,
238,XR0988,XR0988:00036:,4,COMEDORES,SILLAS DE COMEDOR,36.0,
239,XY0036,XY0036:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
240,XY0040,XY0040:00001:,16,COMEDORES,SILLAS DE COMEDOR,1.0,
241,XY0080,XY0080:00002:,24,COMEDORES,SILLAS DE COMEDOR,2.0,
242,XY0082,XY0082:00002:,26,COMEDORES,SILLAS DE COMEDOR,2.0,
243,XY0083,XY0083:00036:,4,COMEDORES,SILLAS DE COMEDOR,36.0,
244,XY0102,XY0102:00005:,2,COMEDORES,SILLAS DE COMEDOR,5.0,
245,XY0104,XY0104:00001:,12,COMEDORES,SILLAS DE COMEDOR,1.0,
246,XY0104,XY0104:00009:,3,COMEDORES,SILLAS DE COMEDOR,9.0,
247,XY0106,XY0106:00009:,8,COMEDORES,SILLAS DE COMEDOR,9.0,
248,XY0107,XY0107:00018:,4,COMEDORES,SILLAS DE COMEDOR,18.0,
249,XY0109,XY0109:00037:,6,COMEDORES,SILLAS DE COMEDOR,37.0,
250,XY0110,XY0110:00001:,4,COMEDORES,SILLAS DE COMEDOR,1.0,
251,XY0112,XY0112:00020:,6,COMEDORES,SILLAS DE COMEDOR,20.0,
252,XY0143,XY0143:00009:,40,COMEDORES,SILLAS DE COMEDOR,9.0,
253,XY0150,XY0150:00005:,17,COMEDORES,SILLAS DE COMEDOR,5.0,
254,XY0151,XY0151:00009:,12,COMEDORES,SILLAS DE COMEDOR,9.0,
255,XY0152,XY0152:00036:,14,COMEDORES,SILLAS DE COMEDOR,36.0,
256,XY0153,XY0153:00001:,10,COMEDORES,SILLAS DE COMEDOR,1.0,
257,XY0154,XY0154:00005:,13,COMEDORES,SILLAS DE COMEDOR,5.0,
258,XY0157,XY0157:00001:,14,COMEDORES,SILLAS DE COMEDOR,1.0,
259,XY0158,XY0158:00001:,13,COMEDORES,SILLAS DE COMEDOR,1.0,
260,XY0249,XY0249:00009:,2,COMEDORES,SILLAS DE COMEDOR,9.0,
261,XY0251,XY0251:00001:,7,COMEDORES,SILLAS DE COMEDOR,1.0,
262,XY0256,XY0256:00005:,2,COMEDORES,SILLAS DE COMEDOR,5.0,
263,XY0257,XY0257:00001:,45,COMEDORES,SILLAS DE COMEDOR,1.0,
264,XY0258,XY0258:00009:,4,COMEDORES,SILLAS DE COMEDOR,9.0,
265,XY0322,XY0322:00001:,9,COMEDORES,SILLAS DE COMEDOR,1.0,
266,XY0324,XY0324:00052:,5,COMEDORES,SILLAS DE COMEDOR,52.0,
267,XY0343,XY0343:00001:,16,COMEDORES,SILLAS DE COMEDOR,1.0,
268,XY0431,XY0431:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
269,XY0434,XY0434:00024:,20,COMEDORES,SILLAS DE COMEDOR,24.0,
270,XY0435,XY0435:00005:,2,COMEDORES,SILLAS DE COMEDOR,5.0,
271,XY0438,XY0438:00005:,8,COMEDORES,SILLAS DE COMEDOR,5.0,
272,XY0439,XY0439:00009:,12,COMEDORES,SILLAS DE COMEDOR,9.0,
273,XY0440,XY0440:00001:,6,COMEDORES,SILLAS DE COMEDOR,1.0,
274,XY0459,XY0459:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
275,XY0460,XY0460:00029:,2,COMEDORES,SILLAS DE COMEDOR,29.0,
276,XY0462,XY0462:00049:,4,COMEDORES,SILLAS DE COMEDOR,49.0,
277,XY0475,XY0475:00001:,6,COMEDORES,SILLAS DE COMEDOR,1.0,
278,XY0487,XY0487:00012:,6,COMEDORES,SILLAS DE COMEDOR,12.0,
279,XY0498,XY0498:00001:,4,COMEDORES,SILLAS DE COMEDOR,1.0,
280,XY0510,XY0510:00050:,4,COMEDORES,SILLAS DE COMEDOR,50.0,
281,XY0761,XY0761:00090:,8,COMEDORES,SILLAS DE COMEDOR,90.0,
282,XY0769,XY0769:00001:,11,COMEDORES,SILLAS DE COMEDOR,1.0,
283,XY0779,XY0779:00001:,33,COMEDORES,SILLAS DE COMEDOR,1.0,
284,XY0780,XY0780:00009:,16,COMEDORES,SILLAS DE COMEDOR,9.0,
285,XY0805,XY0805:00005:,18,COMEDORES,SILLAS DE COMEDOR,5.0,
286,XY0811,XY0811:00005:,10,COMEDORES,SILLAS DE COMEDOR,5.0,
287,XY0812,XY0812:00001:,2,COMEDORES,SILLAS DE COMEDOR,1.0,
288,XY0837,XY0837:00005:,1,COMEDORES,SILLAS DE COMEDOR,5.0,
289,XY0838,XY0838:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
290,XY0842,XY0842:00005:,11,COMEDORES,SILLAS DE COMEDOR,5.0,
291,XY0843,XY0843:00009:,4,COMEDORES,SILLAS DE COMEDOR,9.0,
292,XY0844,XY0844:00001:,8,COMEDORES,SILLAS DE COMEDOR,1.0,
293,XY0894,XY0894:00009:,10,COMEDORES,SILLAS DE COMEDOR,9.0,
294,XY0903,XY0903:00009:,39,COMEDORES,SILLAS DE COMEDOR,9.0,
295,XY0907,XY0907:00005:,3,COMEDORES,SILLAS DE COMEDOR,5.0,
296,XY0908,XY0908:00009:,8,COMEDORES,SILLAS DE COMEDOR,9.0,
297,XY0909,XY0909:00001:,3,COMEDORES,SILLAS DE COMEDOR,1.0,
298,XY0910,XY0910:00005:,16,COMEDORES,SILLAS DE COMEDOR,5.0,
299,XY0931,XY0931:00005:,2,COMEDORES,SILLAS DE COMEDOR,5.0,
300,XY0970,XY0970:00005:,24,COMEDORES,SILLAS DE COMEDOR,5.0,
301,XY0971,XY0971:00001:,5,COMEDORES,SILLAS DE COMEDOR,1.0,
302,XZ0001,XZ0001:00036:,60,COMEDORES,SILLAS DE COMEDOR,36.0,
303,XZ0006,XZ0006:00001:,8,COMEDORES,SILLAS DE COMEDOR,1.0,
304,XZ0018,XZ0018:00009:,2,COMEDORES,SILLAS DE COMEDOR,9.0,
305,XZ0020,XZ0020:00009:,2,COMEDORES,SILLAS DE COMEDOR,9.0,
306,XZ0021,XZ0021:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
307,XZ0050,XZ0050:00005:,1,COMEDORES,SILLAS DE COMEDOR,5.0,
308,XZ0052,XZ0052:00001:,2,COMEDORES,SILLAS DE COMEDOR,1.0,
309,XZ0056,XZ0056:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
310,XZ0057,XZ0057:00009:,26,COMEDORES,SILLAS DE COMEDOR,9.0,
311,XZ0071,XZ0071:00009:,21,COMEDORES,SILLAS DE COMEDOR,9.0,
312,XZ0072,XZ0072:00009:,34,COMEDORES,SILLAS DE COMEDOR,9.0,
313,XZ0095,XZ0095:00009:,44,COMEDORES,SILLAS DE COMEDOR,9.0,
314,XZ0218,XZ0218:00009:,23,COMEDORES,SILLAS DE COMEDOR,9.0,
315,XZ0233,XZ0233:00005:,16,COMEDORES,SILLAS DE COMEDOR,5.0,
316,XZ0234,XZ0234:00009:,23,COMEDORES,SILLAS DE COMEDOR,9.0,
317,XZ0236,XZ0236:00036:,15,COMEDORES,SILLAS DE COMEDOR,36.0,
318,XZ0237,XZ0237:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
319,XZ0238,XZ0238:00009:,28,COMEDORES,SILLAS DE COMEDOR,9.0,
320,XZ0239,XZ0239:00001:,4,COMEDORES,SILLAS DE COMEDOR,1.0,
321,XZ0240,XZ0240:00029:,7,COMEDORES,SILLAS DE COMEDOR,29.0,
322,XZ0248,XZ0248:00009:,3,COMEDORES,SILLAS DE COMEDOR,9.0,
323,XZ0249,XZ0249:00001:,33,COMEDORES,SILLAS DE COMEDOR,1.0,
324,XZ0252,XZ0252:00001:,98,COMEDORES,SILLAS DE COMEDOR,1.0,
325,XZ0334,XZ0334:00009:,29,COMEDORES,SILLAS DE COMEDOR,9.0,
326,XZ0335,XZ0335:00009:,3,COMEDORES,SILLAS DE COMEDOR,9.0,
327,XZ0336,XZ0336:00046:,16,COMEDORES,SILLAS DE COMEDOR,46.0,
328,XZ0363,XZ0363:00029:,8,COMEDORES,SILLAS DE COMEDOR,29.0,
329,XZ0364,XZ0364:00029:,3,COMEDORES,SILLAS DE COMEDOR,29.0,
330,XZ0451,XZ0451:00009:,4,COMEDORES,SILLAS DE COMEDOR,9.0,
331,XZ0454,XZ0454:00009:,4,COMEDORES,SILLAS DE COMEDOR,9.0,
332,XZ0457,XZ0457:00009:,20,COMEDORES,SILLAS DE COMEDOR,9.0,
333,XZ0458,XZ0458:00001:,6,COMEDORES,SILLAS DE COMEDOR,1.0,
334,XZ0475,XZ0475:00005:,4,COMEDORES,SILLAS DE COMEDOR,5.0,
335,XZ0477,XZ0477:00009:,16,COMEDORES,SILLAS DE COMEDOR,9.0,
336,XZ0478,XZ0478:00005:,26,COMEDORES,SILLAS DE COMEDOR,5.0,
337,XZ0479,XZ0479:00001:,17,COMEDORES,SILLAS DE COMEDOR,1.0,
