,ITEM,REF,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
126,19209,D00125:00021:,ESCRITORIO ATLANTER,ESTUDIO,ESCRITORIOS,NOVEDAD,NACIONAL,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,WENGUE,120.0,70.0,50.0,ESCRITORIO ATLANTER+BIBLIOT WG CLW 1820,OTROS,OTRO,MADERA LAMINADA
127,19210,D00126:00021:,ESCRITORIO AXIS,ESTUDIO,ESCRITORIOS,LINEA,NACIONAL,MODERNO,MADERA LAMINADA,MATE,1.0,WENGUE,110.0,70.0,60.0,ESCRITORIO AXIS (1C) WG/MARFIL ELW 1464,OTROS,OTRO,MADERA LAMINADA
128,19211,D00127:00021:,ESCRITORIO AXIS,ESTUDIO,ESCRITORIOS,LINEA,NACIONAL,MODERNO,MADERA LAMINADA,MATE,1.0,WENGUE,110.0,70.0,60.0,ESCRITORIO AXIS (1C) WG/NG ELW 1832,OTROS,OTRO,MADERA LAMINADA
129,19226,D00133:00033:,CENTRO ENTRE. CANTABRIA,SALAS Y SOFAS,CENTROS DE ENTRETENIMIENTO,NOVEDAD,NACIONAL,MODERNO,MADERA LAMINADA,MATE,,ROVERE,150.0,150.0,40.0,CENTRO ENTRETENIMIENTO CANTABRIA CLR3099,OTROS,OTRO,MADERA LAMINADA
130,19227,D00134:00021:,CENTRO ENTRE. CANTABRIA,SALAS Y SOFAS,CENTROS DE ENTRETENIMIENTO,NOVEDAD,NACIONAL,MODERNO,MADERA LAMINADA,SUPERFICIES MATES,,WENGUE,150.0,150.0,40.0,CENTRO ENTRETENIMIENTO CANTABRIA CLW1272,OTROS,OTRO,MADERA LAMINADA
131,19228,D00135:00034:,CENTRO ENTRE. FLAMENCO,SALAS Y SOFAS,CENTROS DE ENTRETENIMIENTO,NOVEDAD,NACIONAL,MODERNO,MADERA LAMINADA,SUPERFICIES MATES,,HABANO,150.0,150.0,40.0,CENTRO ENTRETENIMIENTO FLAMENCO CLH3141,OTROS,OTRO,MADERA LAMINADA
132,19232,D00139:00033:,MESA TV VERMON,SALAS Y SOFAS,MESA TV,DESCONTINUADO,NACIONAL,MODERNO,VIDRIO,BRILLANTE,,ROVERE,40.0,60.0,40.0,MESA TV VERMON ROVERE MLR3100,OTROS,OTRO,VIDRIO
133,19233,D00140:00021:,MESA TV VERMON,SALAS Y SOFAS,MESA TV,DESCONTINUADO,NACIONAL,MODERNO,VIDRIO,BRILLANTE,,WENGUE,40.0,60.0,40.0,MESA TV VERMON WG MLW1430,OTROS,OTRO,VIDRIO
134,17741,D00510:00064:00064,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,NEGRO,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,NEGRO,OTRO
135,17741,D00510:00065:00065,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,GRIS,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,GRIS,OTRO
136,17741,D00510:00079:00079,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,NEGRO,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,NEGRO,OTRO
137,17741,D00510:00080:00080,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,BLANCO,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,BLANCO,OTRO
138,17741,D00510:00096:00096,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,CAFE,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,CAFE,OTRO
139,17741,D00510:00112:00112,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,CAFE,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,CAFE,OTRO
140,17741,D00510:00130:00130,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,NEGRO,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,NEGRO,OTRO
141,17741,D00510:00134:00134,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,DESCONTINUADO,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,ROJO,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,ROJO,OTRO
142,17741,D00510:00382:00382,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,ROJO,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,ROJO,OTRO
143,17741,D00510:00397:00397,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,GRIS,182.0,90.0,145.0,SALA EN L PETIT DERECHA 2C,OTROS,GRIS,OTRO
144,17742,D00511:00022:00022,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,CAFE,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,CAFE,OTRO
145,17742,D00511:00065:00065,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,GRIS,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,GRIS,OTRO
146,17742,D00511:00077:00077,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,CAFE,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,CAFE,OTRO
147,17742,D00511:00079:00079,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,SINTÉTICO,TEXTILES SUAVES,3.0,NEGRO,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,NEGRO,SINTÉTICO
148,17742,D00511:00113:00113,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,CAFE,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,CAFE,OTRO
149,17742,D00511:00130:00130,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,NEGRO,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,NEGRO,OTRO
