Item;Desc. item;Desc. ext. 1 detalle;Desc. ext. 2 detalle;Desc. tipo inventario;ORIGEN;DEPARTAMENTO;SUBCATEGORIA;ESTILO;VIGENCIA;001-DESCRIPCION UNIFICADA;001-ALTO EXHIBIDO;001-ANCHO EXHIBIDO;001-FONDO EXHIBIDO;001-MATERIAL PPAL;001-ACABADO;REF_Combinada;COLOR DEF;Puestos
0019469;POLTRONA EVANGELINA RS;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA EVANGELINA;72;57;63;Microfibra;Textiles suaves;XC0129::;ROSADO;1 Puesto
0017583;POLTRONA KANAV;F-151 AGO;F-151 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;POLTRONA KANAV;90;77;82;Microfibra;Textiles suaves;D00998:00106:00106;VERDE;1 Puesto
0016898;POLTRONA VACIA;T C/S AGO;T C/S AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;POLTRONA VACIA NACIONAL;79;72;72;Microfibra;Madera natural;D00904:00396:00396;SURTIDOS;1 Puesto
0016898;POLTRONA VACIA;F-158 T/P;F-158 T/P;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;001 - LINEA;POLTRONA VACIA NACIONAL;79;72;72;Microfibra;Madera natural;D00904:00125:00125;NARANJA;1 Puesto
0016898;POLTRONA VACIA;F-160 AGO;F-160 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;POLTRONA VACIA NACIONAL;79;72;72;Microfibra;Madera natural;D00904:00133:00133;VERDE;1 Puesto
0018553;PUFF DAIMON 40CM TELA AZ;C.AZUL   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF DAIMON;45;38;38;Microfibra;Textiles suaves;XA0759:00046:;AZUL;1 Puesto
0018552;PUFF DAIMON 40CM TELA GR;C.GRIS   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF DAIMON;45;38;38;Microfibra;Textiles suaves;XA0758:00029:;GRIS;1 Puesto
0019464;PUFF DOBLE WITHBUTH AZ;C.AZUL   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;003 - NOVEDAD;PUFF DOBLE WITHBUTH;45;109;40;Microfibra;Textiles suaves;XC0071:00046:;AZUL;1 Puesto
0019465;PUFF DOBLE WITHBUTH GR;C.GRIS   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;003 - NOVEDAD;PUFF DOBLE WITHBUTH;45;109;40;Microfibra;Textiles suaves;XC0072:00029:;GRIS;1 Puesto
0018606;PUFF LABAN AZ 30*30*40CM LIQUIDACIÓN;C.AZUL   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LABAN;40;30;30;Microfibra;Textiles suaves;XA0804:00046:;AZUL;1 Puesto
0018607;PUFF LABAN GR 30*30*40CM;C.GRIS   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LABAN;40;30;30;Microfibra;Textiles suaves;XA0805:00029:;GRIS;1 Puesto
0018608;PUFF LABAN NR 30*30*40CM LIQUIDACIÓN;C.NARANJA;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LABAN;40;30;30;Microfibra;Textiles suaves;XA0806:00050:;NARANJA;1 Puesto
